Date,Open,High,Low,Close,Volume,Adj Close
20-06-2016,589.099976,605.950012,588.950012,604.299988,288708,514.687988
21-06-2016,604.5,607.5,598.25,602.950012,240704,513.538269
22-06-2016,598.625,605.849976,595,599.275024,153030,510.408173
23-06-2016,599.950012,607.325012,596.724976,605.775024,319910,515.944275
24-06-2016,599.5,599.5,579.5,597.25,454154,508.683502
27-06-2016,588,589.900024,580,583.125,385484,496.653107
28-06-2016,583.125,586.5,578,580.525024,375296,494.43866
29-06-2016,582.5,589.674988,580.625,588.275024,239578,501.039368
30-06-2016,596.349976,596.349976,584.049988,585.375,290160,498.569458
01-07-2016,590,590.275024,585,586.049988,194674,499.144348
04-07-2016,588,597.400024,588,592.125,318490,504.318481
05-07-2016,592.5,592.75,585.775024,587.724976,146396,500.570984
07-07-2016,587.724976,587.724976,577.5,578.599976,335394,492.799072
08-07-2016,588.599976,588.599976,576.599976,579.375,2611198,493.459167
11-07-2016,582.5,589,580.25,587.424988,253976,500.315399
12-07-2016,587,590,584,588,186554,500.805145
13-07-2016,590,597.5,587.549988,596.575012,264418,508.108521
14-07-2016,597.5,597.525024,582.599976,587.924988,487688,500.741272
15-07-2016,593.174988,597.5,529.150024,536.125,5421766,456.622711
18-07-2016,537.5,542.224976,528,540.849976,1899600,460.647064
19-07-2016,543.25,544.5,537.5,543.150024,1387444,462.606018
20-07-2016,535.5,544.75,535,541.525024,520922,461.222046
21-07-2016,540,543.5,537.75,540.174988,1933532,460.072174
22-07-2016,537.5,538.724976,533.5,536.325012,459496,456.793091
25-07-2016,532.5,541.5,532.5,540.25,446068,460.136047
26-07-2016,540,544.900024,537,544.400024,476364,463.670685
27-07-2016,544.349976,548.549988,540,543.775024,750834,463.138306
28-07-2016,543.775024,543.775024,538.025024,539.599976,662050,459.582428
29-07-2016,539,539,533.5,536.974976,480618,457.346649
01-08-2016,537,543.75,534.5,542.5,583158,462.052368
02-08-2016,544.950012,544.950012,538.025024,542.150024,392734,461.754272
03-08-2016,542.5,543.625,536,542.5,321388,462.052368
04-08-2016,545,545,535,536.075012,416868,456.58017
05-08-2016,532.5,537,525.5,533.700012,469326,454.557281
08-08-2016,534,541.299988,530.825012,539.400024,2079522,459.412079
09-08-2016,539.5,542.125,535.775024,540.75,273016,460.56192
10-08-2016,539.950012,543.025024,537.525024,539.974976,254408,459.901825
11-08-2016,540.950012,547,537.900024,538.549988,419126,458.68808
12-08-2016,537.5,539.424988,530,531.650024,464624,452.811371
16-08-2016,521,529,513.799988,525.474976,662214,447.552063
17-08-2016,523,525.950012,515.25,516.700012,407524,440.078308
18-08-2016,517.5,522.400024,511.475006,512.150024,459584,436.203064
19-08-2016,513.25,519.450012,509.5,510.549988,373432,434.84024
22-08-2016,510.549988,515,504.600006,507.700012,421304,432.412933
23-08-2016,508.225006,520.5,508.225006,519.625,466584,442.569519
24-08-2016,522.5,530.974976,522.5,528.775024,364418,450.362701
25-08-2016,529,529,516.150024,518.275024,239380,441.419739
26-08-2016,518.5,523,508.549988,510.375,362042,434.691223
29-08-2016,510,514,505.899994,511.125,401536,435.329987
30-08-2016,518.5,527.549988,512.400024,520.5,377018,443.314758
31-08-2016,520.75,523,515.299988,518.400024,427828,441.526215
01-09-2016,518,519.950012,516.125,518.825012,207814,441.888184
02-09-2016,518.5,519.5,513.400024,515.525024,2088956,439.077545
06-09-2016,520,524.450012,517.5,522.549988,572150,445.060791
07-09-2016,522.5,529.25,521.75,527.5,524404,449.276733
08-09-2016,524,525,512.5,518.950012,1112786,441.994598
09-09-2016,519,520.375,513.825012,518,463250,441.185516
12-09-2016,514,528.599976,513,527,601474,448.850861
14-09-2016,527.5,528.650024,521.5,523.549988,785042,445.912445
15-09-2016,524,527.400024,518.025024,520.674988,299198,443.463806
16-09-2016,525.5,532.075012,519,530.174988,412928,451.555023
19-09-2016,525,534.325012,521.5,530.575012,1291244,451.895752
20-09-2016,527,528.625,523.25,525.174988,175638,447.296509
21-09-2016,525.5,530.125,525.5,528.349976,187360,450.000732
22-09-2016,528,530.325012,525.799988,529.25,140296,450.767212
23-09-2016,529.5,529.924988,520,521.5,180462,444.166504
